,timestamp,price,quantity,type,exchange
744,1554086597,4975.0,0.10729756,asks,gemini
245,1554086597,3856.0,0.65,bids,gemini
745,1554086597,4987.0,0.1960042,asks,gemini
246,1554086597,3855.24,0.0256923,bids,gemini
746,1554086597,4990.0,2.56923,asks,gemini
247,1554086597,3855.0,1.72470298,bids,gemini
747,1554086597,4992.0,0.11770855,asks,gemini
248,1554086597,3854.8,0.00129708,bids,gemini
748,1554086597,4999.97,0.3,asks,gemini
249,1554086597,3853.0,0.25953802,bids,gemini
749,1554086597,4999.99,1.0,asks,gemini
250,1554086597,3851.69,0.05151504,bids,gemini
750,1554086597,5000.0,111.44049924,asks,gemini
251,1554086597,3851.57,0.04439747,bids,gemini
751,1554086597,5006.0,2.55889795,asks,gemini
252,1554086597,3851.0,1.22004673,bids,gemini
752,1554086597,5014.12,1.0,asks,gemini
253,1554086597,3850.29,0.05194413,bids,gemini
753,1554086597,5025.0,0.05837,asks,gemini
254,1554086597,3850.1,0.04501181,bids,gemini
754,1554086597,5032.01,0.032802,asks,gemini
255,1554086597,3850.03,0.1,bids,gemini
755,1554086597,5037.37,1.5,asks,gemini
256,1554086597,3850.0,8.03862977,bids,gemini
756,1554086597,5038.0,0.05,asks,gemini
257,1554086597,3849.49,0.12858846,bids,gemini
757,1554086597,5049.0,0.22478617,asks,gemini
258,1554086597,3849.0,0.01299038,bids,gemini
758,1554086597,5050.0,0.25,asks,gemini
259,1554086597,3847.0,0.01273719,bids,gemini
759,1554086597,5051.0,0.81,asks,gemini
260,1554086597,3845.36,0.00260053,bids,gemini
760,1554086597,5060.0,1.02173913,asks,gemini
261,1554086597,3845.0,0.6436931,bids,gemini
761,1554086597,5074.69,5.0,asks,gemini
262,1554086597,3843.0,0.05,bids,gemini
762,1554086597,5080.0,10.0,asks,gemini
263,1554086597,3841.91,8.0,bids,gemini
763,1554086597,5100.0,3.8675991,asks,gemini
264,1554086597,3840.0,103.78473958,bids,gemini
764,1554086597,5103.48,0.071598,asks,gemini
265,1554086597,3838.74,0.0514674,bids,gemini
765,1554086597,5149.07,0.012068,asks,gemini
266,1554086597,3838.38,0.02579213,bids,gemini
766,1554086597,5150.0,0.5,asks,gemini
267,1554086597,3836.59,0.00635162,bids,gemini
767,1554086597,5157.0,4.00000005,asks,gemini
268,1554086597,3836.46,0.05498082,bids,gemini
768,1554086597,5159.0,5.0,asks,gemini
269,1554086597,3836.0,0.033,bids,gemini
769,1554086597,5167.0,5.0,asks,gemini
270,1554086597,3835.0,0.0130378,bids,gemini
770,1554086597,5190.0,1.0,asks,gemini
271,1554086597,3834.74,0.12908306,bids,gemini
771,1554086597,5196.35,0.014177,asks,gemini
272,1554086597,3832.25,0.00390132,bids,gemini
772,1554086597,5197.0,0.62681822,asks,gemini
273,1554086597,3831.46,0.00716759,bids,gemini
773,1554086597,5200.0,0.09980039,asks,gemini
274,1554086597,3831.01,0.04870568,bids,gemini
774,1554086597,5219.0,0.5,asks,gemini
275,1554086597,3830.4,0.00798406,bids,gemini
775,1554086597,5231.51,0.16072425,asks,gemini
276,1554086597,3830.0,0.30891383,bids,gemini
776,1554086597,5237.0,1.75,asks,gemini
277,1554086597,3829.69,0.00390298,bids,gemini
777,1554086597,5243.0,0.1,asks,gemini
278,1554086597,3829.68,0.01616493,bids,gemini
778,1554086597,5252.26,0.09876,asks,gemini
279,1554086597,3829.57,0.00226741,bids,gemini
779,1554086597,5280.0,0.04464285,asks,gemini
280,1554086597,3828.98,0.0130583,bids,gemini
780,1554086597,5285.0,3.0,asks,gemini
281,1554086597,3828.78,0.00962374,bids,gemini
781,1554086597,5319.81,0.52,asks,gemini
282,1554086597,3828.51,0.57433403,bids,gemini
782,1554086597,5330.0,0.00701,asks,gemini
283,1554086597,3827.71,0.07803223,bids,gemini
783,1554086597,5342.0,0.5,asks,gemini
284,1554086597,3827.56,0.00063273,bids,gemini
784,1554086597,5376.8,0.26595745,asks,gemini
285,1554086597,3827.35,0.00888295,bids,gemini
785,1554086597,5380.0,0.19330856,asks,gemini
286,1554086597,3826.61,0.01781266,bids,gemini
786,1554086597,5388.0,0.085,asks,gemini
287,1554086597,3825.69,0.02613907,bids,gemini
787,1554086597,5392.8,0.5,asks,gemini
288,1554086597,3825.56,0.01537221,bids,gemini
788,1554086597,5399.0,0.45770138,asks,gemini
